Method,LLM,Distinctness,Full Preservation,Partial Preservation
OneShot,Claude-4,0.474,0.185,0.676
OneShot,Gemini-2,0.526,0.305,0.613
OneShot,Gemini-3,0.784,0.215,0.672
OneShot,GPT-4o,0.529,0.424,0.574
OneShot,Grok-3,0.485,0.304,0.613
OneShot,o4-mini,0.589,0.345,0.646
OneShot,GPT-5.2,0.794,0.310,0.685
OneShot,Average,0.597,0.298,0.640

OneShot+Res,Claude-4,0.475,0.317,0.683
OneShot+Res,Gemini-2,0.581,0.303,0.697
OneShot+Res,Gemini-3,0.848,0.321,0.705
OneShot+Res,GPT-4o,0.506,0.366,0.634
OneShot+Res,Grok-3,0.466,0.306,0.694
OneShot+Res,o4-mini,0.584,0.262,0.738
OneShot+Res,GPT-5.2,0.813,0.366,0.602
OneShot+Res,Average,0.610,0.320,0.679

PerGentNoRes,Claude-4,0.676,0.359,0.641
PerGentNoRes,Gemini-2,0.439,0.265,0.735
PerGentNoRes,Gemini-3,0.927,0.150,0.463
PerGentNoRes,GPT-4o,0.496,0.346,0.654
PerGentNoRes,Grok-3,0.445,0.448,0.552
PerGentNoRes,o4-mini,0.698,0.478,0.522
PerGentNoRes,GPT-5.2,0.895,0.272,0.454
PerGentNoRes,Average,0.654,0.331,0.574

PerGent,Claude-4,0.815,0.388,0.712
PerGent,Gemini-2,0.522,0.239,0.761
PerGent,Gemini-3,0.933,0.254,0.705
PerGent,GPT-4o,0.510,0.433,0.667
PerGent,Grok-3,0.626,0.494,0.606
PerGent,o4-mini,0.614,0.496,0.604
PerGent,GPT-5.2,0.917,0.435,0.691
PerGent,Average,0.705,0.391,0.678

